name,sub_name,score,price,labels,introduction,address
Burgeroom,,4,$51-100,美國菜/漢堡包/快餐店,人氣漢堡店，裝潢時尚，招牌鵝肝漢堡分量十足。,銅鑼灣Fashion Walk食街百德新街50-56號地下D舖
The Grill Room,,4,$201-400,西式/扒房,以炭燒食物為主打，如炭燒排骨及美國牛short Ribs。,銅鑼灣駱克道459-461號The L. Square 5樓
Mad for Garlic,,4,$101-200,韓國菜/意大利菜/薄餅/西餐廳,成立於 2001 年的 Mad for Garlic，於韓國及海外共設有 38 間分店，香港店沿用各分店的裝潢風格，以歐陸酒窖為設計靈感，感覺摩登。餐廳以嶄新的韓風意大利菜為主打，從頭盤至甜點近九成半菜式均以蒜頭入饌，為香港食客帶來獨特的韓意料理。,銅鑼灣勿地臣街1號時代廣場食通天11樓1104號舖
阿麥廚房,Mackie Kitchen,4,$201-400,西式/咖啡店,阿麥書房的Cafe，提供各國小食、沙律、扒類及意粉，咖啡有不同口味選擇。,銅鑼灣加路連山道9號地舖
HeSheEat,,4,$51-100,西式/甜品/糖水/All Day Breakfast/咖啡店,人氣甜點店，除招牌甜點外，也推薦義大利粉及其他輕食。,銅鑼灣記利佐治街2-10號銅鑼灣地帶2樓201號舖
Espuma,,4,$101-200,西班牙菜/多國菜/甜品/糖水/咖啡店/樓上cafe,結合60年經驗提供巴塞羅那式咖啡，餐廳同時亦提供水果茶等特飲及窩夫等甜品。,中環威靈頓街2-8號威靈頓廣場M88 17樓
Mr. Crab by The Captain's House,,4,$101-200,西式/美國菜/海鮮/蠔吧/蟹店,,灣仔莊士敦道74-78號一樓及地下C號舖
Burger Joys,,4,$101-200,美國菜/漢堡包,位於灣仔酒吧街的漢堡店，採用法國米芝蓮麵包製作漢堡，而招牌包Signature double cheese burger更有兩塊厚切漢堡扒，非常足料。店內亦設有素食漢堡。,灣仔駱克道42-50號君悅居地下E舖
Babbo Trattoria,,4,$201-400,意大利菜/海鮮/薄餅/沙律/咖啡店/酒吧,Babbo Trattoria供應傳統正宗風味意粉及Pizza，分量十足而且服務周到。,銅鑼灣羅素街2-4號二千年廣場5樓
Little Vegas,,4,$101-200,西式/薄餅/All Day Breakfast,以拉斯維加斯做主題的美國菜餐廳，大件大碟的薄餅及意粉最適合大班朋友開心share。,銅鑼灣耀華街3號百樂中心25樓
Espuma,,4,$101-200,西班牙菜/多國菜/甜品/糖水/咖啡店,,灣仔皇后大道東202號QRE Plaza 25樓
16 Shell,,4,$101-200,意大利菜/咖啡店,由謝霆鋒助手開設的西餐廳，請來謝霆鋒參與菜式設計，配搭大膽新穎。必吃黑炭蒜蓉包、松露酥皮薄餅、炸蒜頭香煎三文魚欖油意粉等。,天后炮台山蜆殼街6-16號寶榮大廈地下B舖
Green Orange,,4,$101-200,西式/蠔吧,正宗歐陸式餐廳，由一班喜歡周遊列國的朋友開設，常為餐廳搜羅各國優質食材。餐廳以大自然為主題，舒適優雅。,上環永樂街50號昌盛大廈2樓
Lo Spazio,,4,$201-400,意大利菜/美國菜/海鮮/沙律,具有異國風情的意大利菜館，環境舒適，食物的性價比高，適合情侶約會。,銅鑼灣恩平道42號亨利中心7樓
Odelice!,,4,$101-200,法國菜,位於灣仔的法國菜小店，法籍老闆親力親為，主打中價的法國菜套餐。,灣仔蘭杜街2號地下9號舖
Tokyolima,,4,$201-400,日本菜/秘魯菜/居酒屋,日本菜加秘魯菜的fusion餐廳，並有各類清酒及雞尾酒提供，非常特別。,中環擺花街18-20號地舖
Verde MAR,,3.5,$201-400,西式/墨西哥菜/海鮮/烤肉/沙律/西式糕點,,灣仔大王東街24號地下
Braza Churrascaria Brazilian Steakhouse,,4,$201-400,西式/巴西菜,,中環蘭桂坊15-16號協興大廈3樓
DJAPA,,3.5,$201-400,日本菜/巴西菜/海鮮/串燒/酒吧,,灣仔皇后大道東200號利東街地下G18-20 及 F18A號舖
Buenos Aires Polo Club,,4,$401-800,阿根廷菜,,中環蘭桂坊雲咸街33號LKF Tower 7樓
Commissary,,4,$201-400,美國菜/墨西哥菜,餐廳走南加洲風，用上多種植物作裝飾。食物方面則推介牛肉漢堡及各式雞尾酒。,金鐘金鐘道88號太古廣場4樓405號舖
11 Westside,,4,$201-400,墨西哥菜/酒吧,主打正宗的墨西哥菜，部份調味料特意從墨西哥及洛杉磯運到香港。餐廳源自美國加州，老闆曾上過電視節目，被譽為Taco King。,西環堅尼地城爹核士街11號浚峰1樓
Uma Nota,,4.5,$201-400,日本菜/巴西菜,巴西與日本菜融合的餐廳，把巴西食材以日式烹調方式處理，招牌菜有巴西木薯粉、即脆炸豬腩肉配燒汁及燒蕉等。,中環蘇豪卑利街38號地下C號舖
TED's Lookout,,4,$101-200,美國菜/墨西哥菜,,灣仔月街17A號月豐閣地下
Tango Argentinian Steak House,,4,$201-400,阿根廷菜/扒房,,中環雲咸街77號嘉兆商業大廈1樓
Chullschick,,4.5,$101-200,秘魯菜/扒房,,中環蘇豪嘉咸街45-53號地下D舖
Coyote Bar & Grill,,3.5,$101-200,墨西哥菜/薄餅/酒吧,位於香港其中一個最有名的娛樂和夜生活區，灣仔，Coyote Bar & Grill是一間休閒的餐廳。它主要提供墨西哥西南北方和南方邊境的梅斯基特燒烤和辛辣音樂。,灣仔駱克道114-120號嘉洛商業大廈
