name,url
Burgeroom,/zh/hongkong/r-burgeroom-%E9%8A%85%E9%91%BC%E7%81%A3-%E7%BE%8E%E5%9C%8B%E8%8F%9C-%E6%BC%A2%E5%A0%A1%E5%8C%85-r189507
The Grill Room,/zh/hongkong/r-the-grill-room-%E9%8A%85%E9%91%BC%E7%81%A3-%E8%A5%BF%E5%BC%8F-r446983
Mad for Garlic,/zh/hongkong/r-mad-for-garlic-%E9%8A%85%E9%91%BC%E7%81%A3-%E9%9F%93%E5%9C%8B%E8%8F%9C-%E8%96%84%E9%A4%85-r494914
阿麥廚房 Mackie Kitchen,/zh/hongkong/r-%E9%98%BF%E9%BA%A5%E5%BB%9A%E6%88%BF-%E9%8A%85%E9%91%BC%E7%81%A3-%E8%A5%BF%E5%BC%8F-r21180
HeSheEat,/zh/hongkong/r-hesheeat-%E9%8A%85%E9%91%BC%E7%81%A3-%E8%A5%BF%E5%BC%8F-all-day-breakfast-r193159
Espuma,/zh/hongkong/r-espuma-%E4%B8%AD%E7%92%B0-%E5%A4%9A%E5%9C%8B%E8%8F%9C-%E7%94%9C%E5%93%81-%E7%B3%96%E6%B0%B4-r431970
Mr. Crab by The Captain's House,/zh/hongkong/r-mr-crab-by-the-captains-house-%E7%81%A3%E4%BB%94-%E8%A5%BF%E5%BC%8F-%E6%B5%B7%E9%AE%AE-r520045
Burger Joys,/zh/hongkong/r-burger-joys-%E7%81%A3%E4%BB%94-%E7%BE%8E%E5%9C%8B%E8%8F%9C-%E6%BC%A2%E5%A0%A1%E5%8C%85-r453663
Babbo Trattoria,/zh/hongkong/r-babbo-trattoria-%E9%8A%85%E9%91%BC%E7%81%A3-%E6%84%8F%E5%A4%A7%E5%88%A9%E8%8F%9C-%E6%B2%99%E5%BE%8B-r438272
Little Vegas,/zh/hongkong/r-little-vegas-%E9%8A%85%E9%91%BC%E7%81%A3-%E8%A5%BF%E5%BC%8F-all-day-breakfast-r186385
Espuma,/zh/hongkong/r-espuma-%E7%81%A3%E4%BB%94-%E5%A4%9A%E5%9C%8B%E8%8F%9C-%E7%94%9C%E5%93%81-%E7%B3%96%E6%B0%B4-r448363
16 Shell,/zh/hongkong/r-16-shell-%E5%A4%A9%E5%90%8E-%E6%84%8F%E5%A4%A7%E5%88%A9%E8%8F%9C-r440622
